"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81","X82","X83","X84","X85","X86","X87","X88","X89","X90","X91","X92","X93","X94","X95","X96","X97","X98","X99","X100","X101","X102","X103","X104","X105","X106","X107","X108","X109","X110","X111","X112","X113","X114","X115","X116","X117","X118","X119","X120","X121","X122","X123","X124","X125","X126","X127","X128","X129","X130","X131","X132","X133","X134","X135","X136","X137","X138","X139","X140","X141","X142","X143","X144","X145","X146","X147","X148","X149","X150","X151","X152","X153","X154","X155","X156","X157","X158","X159","X160","X161","X162","X163","X164","X165","X166","X167","X168","X169","X170","X171","X172","X173","X174","X175","X176","X177","X178","X179","X180","X181","X182","X183","X184","X185","X186","X187","X188","X189","X190","X191","X192","X193","X194","X195","X196","X197","X198","X199","X200","X201","X202","X203","X204","X205","X206","X207","X208","X209","X210","X211","X212","X213","X214","X215","X216","X217","X218","X219","X220","X221","X222","X223","X224","X225","X226","X227","X228","X229","X230","X231","X232","X233","X234","X235","X236","X237","X238","X239","X240","X241","X242","X243","X244","X245","X246","X247","X248","X249","X250","X251","X252","X253","X254","X255","X256","X257","X258","X259","X260","X261","X262","X263","X264","X265","X266","X267","X268","X269","X270","X271","X272","X273","X274","X275","X276","X277","X278","X279","X280","X281","X282","X283","X284","X285","X286","X287","X288","X289","X290","X291","X292","X293","X294","X295","X296","X297","X298","X299","X300","X301","X302","X303","X304","X305","X306","X307","X308","X309","X310","X311","X312","X313","X314","X315","X316","X317","X318","X319","X320","X321","X322","X323","X324","X325","X326","X327","X328","X329","X330","X331","X332","X333","X334","X335","X336","X337","X338","X339","X340","X341","X342","X343","X344","X345","X346","X347","X348","X349","X350","X351","X352","X353","X354","X355","X356","X357","X358","X359","X360","X361","X362","X363","X364","X365","X366","X367","X368","X369","X370","X371","X372","X373","X374","X375","X376","X377","X378","X379","X380","X381","X382","X383","X384","X385","X386","X387","X388","X389","X390","X391","X392","X393","X394","X395","X396","X397","X398","X399","X400","X401","X402","X403","X404","X405","X406","X407","X408","X409","X410","X411","X412","X413","X414","X415","X416","X417","X418","X419","X420","X421","X422","X423","X424","X425","X426","X427","X428","X429","X430","X431","X432","X433","X434","X435","X436","X437","X438","X439","X440","X441","X442","X443","X444","X445","X446","X447","X448","X449","X450","X451","X452","X453","X454","X455","X456","X457","X458","X459","X460","X461","X462","X463","X464","X465","X466","X467","X468","X469","X470","X471","X472","X473","X474","X475","X476","X477","X478","X479","X480"
6,4,2,13,6,8,11,4,10,7,12,9,6,1,5,3,7,4,7,4,5,6,4,7,7,7,8,10,5,9,6,4,6,1,3,3,9,7,5,6,2,8,6,3,5,8,6,6,9,7,5,5,2,6,8,6,10,2,4,2,5,6,7,3,1,3,9,4,4,4,7,5,6,9,13,5,15,7,5,18,1,1,1,2,1,1,2,2,4,2,3,1,3,3,2,3,3,2,7,7,4,6,9,12,4,12,2,10,8,9,0,0,0,0,0,0,0,1,0,0,4,5,7,5,7,7,7,5,5,5,11,8,4,11,5,9,5,13,2,8,0,0,0,0,0,0,0,0,0,0,9,3,6,5,5,7,4,3,10,3,14,9,12,9,8,10,10,10,8,6,1,1,2,4,2,2,1,3,3,1,2,3,9,5,1,9,9,8,7,7,17,8,8,7,12,9,13,11,7,16,5,3,2,5,6,7,2,1,1,2,7,9,17,10,13,6,12,11,13,8,13,8,8,22,6,12,9,7,5,8,8,8,10,9,12,8,8,6,6,8,3,9,11,12,12,12,8,15,10,11,6,8,9,12,9,8,6,8,9,9,14,12,9,12,9,14,16,10,8,5,9,12,10,8,9,17,9,7,16,21,10,13,11,14,8,5,12,11,13,10,16,16,20,18,16,14,16,17,13,18,17,13,18,12,9,15,10,9,14,13,11,5,9,7,8,10,11,10,7,11,23,22,12,15,15,19,16,21,18,17,12,9,13,10,8,11,14,17,15,11,6,6,11,11,17,6,10,12,9,8,24,19,20,14,17,18,27,28,15,13,10,16,21,11,14,14,13,11,22,20,10,6,7,11,10,9,9,5,7,7,15,9,20,26,13,17,26,20,17,22,16,10,16,7,11,8,14,12,15,19,4,10,6,11,8,1,10,11,8,9,21,18,17,16,26,15,29,12,18,13,13,11,16,11,7,10,8,11,8,12,10,5,7,2,10,9,12,9,5,5,10,24,16,14,12,15,17,7,12,13,12,9,11,3,4,12,9,7,5,10,5,6,4,9,5,8,4,7,6,10,12,11,5,17,13,17,10,8,10,21
7,4,8,4,6,16,7,9,6,7,8,7,5,5,6,7,5,6,4,13,8,4,8,11,11,3,8,6,9,8,0,5,5,8,4,4,11,4,6,4,4,6,8,10,10,4,9,6,3,6,9,3,7,3,0,8,2,2,4,4,4,0,3,6,4,2,10,2,2,6,5,6,4,9,10,9,7,6,5,7,0,5,4,4,2,2,0,1,0,1,3,2,3,9,2,2,3,7,5,7,11,12,5,3,11,4,6,5,5,9,1,1,0,0,0,0,0,0,1,0,3,3,3,4,4,9,3,8,0,6,12,7,5,10,10,6,7,9,10,9,0,0,0,1,0,0,0,0,0,0,1,6,4,7,2,6,4,6,5,7,10,6,10,5,7,10,14,9,16,8,2,1,0,1,0,3,0,4,0,1,9,2,7,15,6,1,5,9,4,13,16,9,8,5,4,8,8,5,9,9,5,7,8,5,6,4,5,6,4,6,7,9,7,12,7,3,11,10,7,8,8,11,12,12,8,9,4,12,6,11,6,11,11,11,10,9,5,6,17,10,9,11,10,6,15,10,8,21,14,6,17,11,6,12,13,10,8,10,5,7,19,16,13,19,15,10,18,11,11,10,15,5,12,10,12,16,20,17,9,9,6,9,7,12,12,11,11,15,1,7,11,16,8,19,19,15,16,10,14,14,6,14,11,12,13,14,16,13,14,18,12,11,7,4,8,9,18,14,7,7,18,20,24,14,16,16,15,19,16,14,17,12,13,13,18,21,13,18,14,12,5,6,8,9,7,8,14,6,13,9,24,15,19,24,24,12,21,18,19,27,15,19,11,12,13,18,7,17,16,9,8,12,11,10,10,8,5,5,5,8,18,24,23,19,13,14,22,23,29,12,11,9,9,17,13,12,9,18,12,8,6,3,7,6,10,8,2,12,6,5,14,12,16,20,11,20,16,21,11,22,10,9,9,6,10,14,8,5,14,9,7,9,6,7,3,8,4,3,3,10,10,12,19,9,14,22,20,13,17,13,10,6,11,13,10,17,6,17,7,6,10,10,7,10,7,10,1,4,5,3,9,13,16,14,12,6,12,10,12,8
6,10,10,5,5,5,5,6,6,5,13,5,11,9,6,5,7,9,10,5,10,7,6,10,13,6,5,9,7,10,3,8,7,6,13,6,3,2,4,6,6,6,4,8,3,8,7,5,5,5,2,3,4,3,2,3,6,6,4,5,2,2,4,9,6,4,3,4,6,2,8,12,8,7,8,7,4,7,8,3,1,1,0,1,2,5,1,5,0,2,3,3,5,2,4,5,3,5,6,7,10,8,1,3,11,11,8,12,5,8,0,0,0,0,0,0,1,0,0,2,5,5,2,6,3,6,2,6,5,3,12,10,7,14,11,13,10,11,11,7,0,1,0,0,0,0,0,0,0,0,5,4,11,5,8,3,4,8,4,3,14,7,9,10,5,13,10,5,7,7,0,2,0,3,1,6,1,2,2,4,8,5,6,11,4,5,13,6,5,5,6,7,7,5,13,14,8,7,8,7,5,3,7,6,7,5,2,4,3,2,6,7,6,9,9,7,5,6,12,8,12,10,14,9,10,8,7,9,10,6,10,10,4,10,8,5,8,10,3,7,8,12,10,11,12,14,5,7,11,11,6,11,11,10,12,8,8,9,13,9,13,6,14,16,15,12,11,10,7,8,10,14,9,11,14,11,7,15,7,9,11,12,7,13,7,7,12,7,9,10,17,16,13,14,16,17,12,12,20,13,14,8,19,22,11,11,12,16,11,16,6,8,7,11,8,9,11,6,4,12,17,15,15,24,22,26,20,16,21,23,16,18,21,15,10,10,20,6,17,19,21,3,6,17,8,11,13,11,8,10,23,18,17,23,24,15,18,27,17,14,17,12,16,14,16,10,17,14,17,15,6,15,8,4,7,6,9,9,8,10,18,20,22,27,25,21,20,21,23,18,11,10,15,21,17,10,11,12,9,13,4,7,8,4,9,13,11,4,5,7,21,24,18,15,23,25,13,14,19,16,11,8,15,13,11,13,9,12,8,13,7,4,8,15,7,5,8,6,3,6,20,16,26,12,12,17,16,15,23,11,10,7,11,9,6,11,6,8,15,7,6,3,8,7,1,2,8,5,4,4,11,14,8,14,14,13,14,8,10,13
7,8,6,4,3,8,8,4,6,6,6,8,7,6,5,5,5,3,6,7,8,8,11,10,6,11,5,12,5,9,4,6,1,9,8,6,3,7,4,6,6,3,7,6,6,9,7,9,5,9,3,3,3,7,5,2,3,5,2,3,1,5,7,6,5,6,5,3,4,5,7,1,6,4,6,2,4,4,7,12,0,1,2,1,1,2,3,2,2,0,2,2,6,3,4,4,5,3,1,4,7,9,9,10,13,7,5,7,7,4,0,0,1,0,0,0,0,0,0,0,3,3,5,5,5,5,4,7,5,5,6,7,10,4,13,8,10,8,11,5,0,0,0,0,1,0,0,0,0,0,3,5,3,5,6,5,6,1,2,6,4,6,9,5,10,11,17,10,12,4,2,1,3,1,2,1,1,3,2,1,10,6,12,7,8,7,7,3,7,7,13,9,13,11,2,8,10,9,8,9,1,6,3,3,7,4,2,6,5,4,11,7,8,7,10,12,12,8,8,7,6,8,8,17,14,7,13,7,7,8,5,5,10,11,5,9,7,7,11,4,9,10,4,13,10,9,14,10,18,6,7,13,10,10,8,13,9,9,7,10,7,9,10,4,9,14,7,14,6,13,12,20,7,12,11,25,15,14,10,10,10,8,14,12,4,3,7,11,7,8,17,19,13,18,16,24,16,10,19,21,13,19,10,11,21,14,10,11,13,8,4,8,5,8,7,11,6,7,10,15,12,18,18,21,20,18,14,8,14,23,21,12,10,10,14,13,12,9,18,16,7,14,6,7,8,5,6,5,10,4,12,21,16,27,21,21,16,19,17,19,17,16,9,17,6,10,19,16,10,11,13,7,7,8,11,6,9,7,7,10,22,18,28,21,19,15,23,17,24,25,11,13,21,9,8,17,13,9,15,14,11,5,8,7,9,5,3,15,14,5,15,19,22,22,19,23,13,20,27,16,14,10,13,10,10,11,10,11,5,12,9,9,4,9,5,10,3,9,2,5,11,16,21,15,13,12,13,15,13,17,4,8,9,0,5,14,1,10,9,11,3,1,1,7,4,6,4,7,6,10,14,12,16,16,11,9,10,11,20,11
6,6,9,9,4,10,6,7,4,9,7,6,7,5,3,8,13,10,4,5,10,5,11,7,7,11,9,10,5,7,5,5,5,7,4,8,6,2,5,6,8,7,3,3,4,10,6,7,7,4,9,8,4,2,5,1,1,6,4,0,7,5,8,1,2,7,5,3,5,2,10,2,9,7,9,4,7,5,8,13,6,1,1,3,4,3,2,1,3,3,6,3,3,5,1,2,2,3,5,3,11,6,6,7,9,9,7,7,7,7,0,0,0,0,0,0,0,0,0,0,4,1,1,4,6,5,6,4,5,3,9,14,9,12,7,12,12,10,10,9,0,0,0,0,0,1,0,0,2,0,5,3,5,4,7,4,4,3,3,7,10,10,5,6,10,6,16,13,10,9,1,0,0,0,2,1,2,1,2,1,11,3,11,13,10,8,9,10,9,3,9,5,10,6,9,10,8,8,13,18,6,3,3,7,1,5,5,0,9,4,9,9,10,10,8,10,12,7,13,8,8,7,8,12,12,10,9,8,15,10,10,14,7,6,9,10,5,13,9,6,7,12,12,10,9,17,9,10,10,8,11,3,16,8,15,4,9,13,12,9,13,15,8,8,9,16,10,15,9,14,10,15,11,13,16,16,14,13,13,14,6,9,14,8,3,12,14,8,11,13,13,12,25,17,19,18,17,21,11,14,20,20,13,13,13,8,14,11,15,9,5,5,17,8,5,6,10,6,13,9,9,16,26,11,13,20,20,15,17,18,7,22,21,21,16,21,12,14,18,13,5,7,4,6,10,4,9,8,9,5,22,18,19,28,27,26,16,22,18,23,20,13,14,16,21,25,18,15,13,14,8,7,8,5,9,7,9,8,4,11,27,20,25,28,15,17,24,31,22,24,12,15,12,8,16,12,17,6,11,6,6,6,8,12,7,18,6,13,4,13,26,21,24,18,16,14,16,23,17,14,9,9,6,13,9,10,8,14,10,9,8,5,8,11,4,3,7,6,10,6,19,15,22,26,22,20,17,16,18,12,8,1,9,7,8,6,7,13,9,3,8,8,3,6,3,4,5,7,9,5,7,13,7,11,18,9,10,11,13,7
6,2,8,8,7,6,9,7,9,4,5,3,9,3,3,3,7,7,4,6,9,12,3,8,7,7,4,4,11,11,6,4,5,5,5,5,4,7,7,1,9,4,9,3,11,7,8,4,5,5,5,4,5,4,4,6,3,3,4,4,2,5,5,3,6,7,4,8,3,5,5,7,6,8,9,6,4,5,5,10,2,0,1,4,1,1,1,2,0,0,4,3,5,6,9,7,4,6,3,2,8,10,6,10,8,6,4,12,6,9,0,1,0,0,0,0,0,0,0,1,7,4,1,6,6,5,7,8,4,3,11,4,5,8,7,10,8,7,12,7,0,0,0,0,0,0,0,0,0,1,8,4,4,4,11,3,8,4,7,3,10,10,9,10,13,16,9,9,7,17,3,2,0,0,4,2,3,3,1,2,8,6,6,7,8,6,7,4,12,10,11,13,7,11,11,12,10,7,18,11,8,4,4,4,3,6,4,3,8,3,8,12,15,9,7,14,11,9,9,8,15,9,10,10,12,6,8,9,11,6,8,10,9,11,7,15,10,8,7,4,11,11,14,11,6,9,11,10,15,15,10,7,6,5,7,8,13,8,14,10,4,10,16,11,8,14,13,12,15,15,10,9,17,11,11,10,18,10,13,17,8,12,10,9,17,9,11,9,11,10,18,12,17,15,14,20,16,13,20,12,12,21,14,10,17,11,10,14,10,11,7,10,8,10,8,12,8,20,9,8,14,18,17,16,14,12,21,18,18,16,14,10,12,23,13,14,15,13,6,17,6,5,11,11,8,16,7,8,5,7,23,23,26,18,18,17,15,19,23,18,17,11,12,12,14,15,14,16,7,20,5,7,4,5,7,11,8,6,13,8,21,19,14,14,16,16,18,21,23,19,12,19,16,15,10,13,9,6,16,12,14,13,5,8,7,11,5,12,8,8,13,18,17,24,19,14,23,18,15,16,10,10,8,12,12,12,10,11,17,13,5,7,9,8,6,8,5,9,4,6,22,15,13,22,14,17,21,10,17,15,8,10,11,4,6,6,10,8,11,9,6,7,8,6,4,6,6,7,4,4,14,11,19,8,7,10,11,9,17,13
5,5,7,6,8,6,5,7,10,5,2,6,6,5,9,7,10,7,7,3,16,10,6,4,9,7,5,10,7,8,10,3,2,6,7,8,5,5,9,2,7,10,5,4,6,14,9,6,8,6,3,3,0,4,6,4,5,4,9,4,5,5,6,4,9,8,4,3,3,1,10,3,4,14,6,4,5,8,5,3,2,1,2,3,3,1,1,1,1,0,4,5,1,3,8,6,3,4,8,5,11,13,7,6,3,7,8,9,14,11,0,0,1,0,0,0,1,0,0,0,8,6,4,8,5,9,4,9,2,6,8,11,10,6,8,7,15,3,13,8,0,0,1,1,0,0,0,0,0,0,4,7,10,5,3,3,3,4,7,2,8,9,4,12,11,8,3,14,7,9,2,2,2,2,2,2,0,4,0,1,10,7,9,9,12,5,7,11,5,6,11,8,7,10,13,3,3,13,8,11,5,3,6,4,2,3,6,6,4,1,10,11,5,14,11,8,9,19,13,11,6,13,11,9,12,6,8,13,14,5,9,9,6,8,11,7,10,5,4,14,11,9,11,16,9,13,7,13,12,9,15,11,6,12,13,9,10,5,8,9,18,11,9,9,7,13,10,15,16,14,13,8,20,13,12,11,16,14,13,13,8,8,8,8,15,14,9,12,10,7,12,11,9,10,15,20,10,15,21,14,13,17,12,16,24,6,14,14,17,9,7,8,5,13,11,3,10,9,13,8,17,16,22,12,20,24,8,23,18,19,11,14,15,14,16,18,16,10,13,10,13,11,11,11,8,11,6,12,9,7,23,17,19,20,23,17,18,19,24,20,17,10,15,11,8,14,15,18,10,25,9,4,5,6,11,8,5,12,14,4,19,23,15,21,15,20,28,25,26,23,17,9,9,9,8,5,11,12,10,15,6,7,15,5,8,9,12,11,7,2,24,18,14,22,16,19,12,18,14,23,13,7,12,11,6,13,15,12,9,13,1,9,5,4,7,7,10,6,6,9,24,15,10,15,14,17,14,14,14,17,11,8,10,9,9,9,6,7,9,8,7,7,4,6,3,3,8,5,5,3,12,17,11,11,15,20,15,14,15,12
6,9,10,4,5,2,5,6,2,5,11,5,9,3,6,7,4,5,9,4,5,9,12,10,10,7,4,8,5,9,4,4,6,6,6,5,5,8,7,11,8,8,2,9,7,8,9,12,9,5,5,3,1,4,5,1,3,7,5,6,5,4,4,4,4,2,5,5,6,6,8,12,9,5,3,8,8,10,7,5,2,2,1,0,2,1,3,1,1,3,6,3,3,6,2,2,6,8,4,9,4,15,8,2,9,7,9,14,7,10,0,0,0,0,0,0,0,0,1,0,5,3,7,4,3,1,6,7,0,3,9,11,14,9,5,13,11,6,9,13,0,0,2,0,0,0,1,0,1,0,9,8,4,10,13,3,6,8,9,3,10,10,18,9,11,12,6,10,9,5,3,1,2,1,2,3,0,1,6,3,5,8,9,9,11,5,11,10,6,7,13,8,8,13,3,11,7,6,10,17,1,3,5,5,5,6,6,3,1,6,5,9,12,8,12,12,11,9,8,7,10,6,6,6,8,17,8,13,11,12,10,10,9,11,11,6,4,13,11,10,16,16,11,10,9,12,6,9,12,14,9,6,13,14,13,8,7,13,9,12,11,10,8,7,10,16,6,18,11,8,21,11,14,16,12,14,12,16,9,14,3,4,9,15,8,11,8,6,13,6,10,10,20,9,13,14,13,15,12,14,7,12,22,10,23,12,14,20,15,13,8,11,20,9,10,9,7,7,15,14,18,14,7,9,24,19,16,25,19,23,5,15,12,14,14,18,15,8,11,13,9,11,8,10,7,8,8,7,4,10,13,27,18,20,21,16,25,17,23,22,11,19,18,14,13,20,13,10,14,13,8,14,9,11,5,5,3,5,7,10,18,15,18,20,27,21,18,18,21,23,10,12,10,5,14,18,13,11,9,13,9,6,4,8,5,7,8,10,5,4,18,15,20,18,22,21,14,17,19,9,7,8,12,8,14,13,18,9,7,5,4,6,5,0,9,8,6,4,7,11,15,22,17,13,12,20,14,12,16,17,12,10,7,10,7,6,9,6,13,10,3,3,3,7,2,5,7,4,7,8,10,8,9,12,13,12,13,13,14,16
10,10,8,9,8,3,8,7,6,4,6,4,7,6,8,8,6,5,3,4,12,5,10,8,8,9,8,7,9,6,3,3,9,4,4,8,1,13,5,4,7,5,11,2,10,3,11,6,8,1,4,8,3,4,4,4,4,7,6,3,7,4,0,5,4,1,2,4,3,7,7,5,9,6,9,10,6,4,3,4,5,1,1,2,2,0,1,0,4,1,2,4,2,4,5,1,2,3,4,3,7,13,8,5,6,8,5,17,10,8,0,0,0,1,0,0,0,0,1,0,2,2,5,5,8,6,2,7,4,5,9,16,7,12,15,5,11,10,13,12,1,0,3,0,0,0,1,0,0,0,1,6,7,2,4,8,7,4,3,8,7,10,7,14,10,10,11,8,8,11,3,0,1,1,1,1,1,1,3,2,13,6,10,11,9,9,11,6,5,3,9,8,12,5,11,8,9,7,14,11,3,5,6,5,6,3,6,8,8,5,9,10,11,11,15,11,8,8,7,6,11,6,16,14,12,9,9,6,9,10,13,5,4,10,6,5,3,8,9,1,10,9,7,14,8,17,7,14,12,10,8,8,14,12,9,10,9,8,9,6,14,11,10,7,11,12,12,14,13,15,17,8,18,9,16,17,14,13,10,11,8,6,7,4,12,11,9,12,11,5,8,11,18,13,17,15,11,16,21,16,14,11,14,9,11,11,15,15,8,7,11,10,10,12,7,7,7,11,9,11,18,13,15,20,13,9,10,17,20,25,13,14,15,20,12,12,20,17,12,20,8,11,4,7,12,11,12,10,11,4,22,27,22,9,27,16,16,29,16,23,17,6,11,15,17,16,18,12,11,14,7,8,9,6,6,10,11,8,9,7,6,18,17,27,24,18,17,27,20,19,9,20,8,11,9,21,11,12,5,11,9,9,6,6,6,5,9,12,12,11,22,21,17,13,15,15,16,16,32,18,8,10,11,12,10,18,6,9,10,12,7,7,8,9,6,5,5,5,6,9,17,15,16,10,11,12,19,13,12,17,15,7,6,9,15,8,6,9,3,10,7,9,3,6,6,8,4,6,7,7,7,16,18,14,14,13,11,6,13,12
9,11,9,9,3,4,3,12,12,6,3,4,8,6,7,8,6,7,6,2,9,5,11,5,6,9,4,8,10,8,5,8,10,7,3,5,9,7,9,4,3,10,6,8,4,0,8,6,2,4,7,3,6,6,6,2,4,7,2,4,3,3,6,3,6,2,4,9,1,3,6,10,10,5,5,5,10,6,4,2,2,0,4,2,1,1,3,1,2,1,5,4,5,4,2,3,6,3,5,5,6,11,8,9,4,9,13,4,12,5,0,0,0,0,0,0,0,0,1,0,3,6,8,5,4,9,6,5,4,5,10,11,8,8,11,10,9,7,12,10,1,0,0,0,0,0,0,0,1,1,10,8,4,8,1,6,3,3,5,8,10,9,11,9,10,17,2,9,7,9,1,3,0,1,0,2,1,2,1,1,4,9,6,9,7,9,7,7,3,4,12,9,14,8,10,14,7,9,10,11,5,9,7,6,2,5,8,3,8,6,14,7,10,7,10,7,11,7,10,7,15,14,6,11,11,10,12,8,12,10,7,13,9,8,8,8,7,8,9,9,9,11,8,9,9,12,13,12,17,14,12,14,5,11,5,10,9,12,10,10,13,12,15,11,12,8,11,13,13,8,16,14,13,11,19,16,8,13,14,20,4,6,7,12,12,12,12,16,17,13,15,17,15,15,9,11,14,15,19,14,18,16,13,18,11,13,10,11,12,10,8,12,5,14,4,8,10,11,16,7,22,14,11,18,15,15,20,16,21,14,15,16,17,16,17,13,20,17,12,4,11,12,10,8,10,9,11,3,11,6,18,25,25,15,14,26,26,23,15,23,15,14,14,13,20,16,20,17,18,12,6,6,7,14,9,11,10,6,8,12,15,20,22,24,21,19,16,18,21,19,13,14,21,11,18,25,18,20,15,14,5,7,8,6,10,13,9,9,10,6,16,15,19,16,14,22,15,17,15,22,6,13,11,10,18,8,11,8,10,14,8,10,4,10,8,8,2,10,5,8,11,14,9,18,18,12,14,14,24,14,4,8,13,16,9,7,8,7,8,2,4,7,0,8,5,14,1,7,8,4,18,13,8,8,6,14,17,8,12,10
9,10,7,11,5,5,13,11,9,8,21,11,11,15,6,12,8,11,14,12,10,7,3,6,7,7,6,1,5,3,11,7,14,10,6,13,14,14,9,13,13,19,11,13,10,18,15,15,17,12,7,5,6,13,8,4,4,7,3,5,20,13,5,12,19,9,9,18,10,14,20,24,23,21,21,23,18,18,23,18,7,8,11,8,3,3,7,8,5,3,19,7,9,16,13,17,21,15,9,12,21,24,18,19,30,18,15,22,22,28,13,5,9,5,8,14,10,10,9,9,15,14,16,8,12,14,9,11,20,16,21,15,26,16,19,22,17,16,16,20,8,6,10,13,11,12,9,13,7,11,17,11,13,11,11,9,15,13,13,11,14,17,17,14,15,22,25,18,22,13,7,10,3,12,8,11,13,9,9,13,12,14,12,17,21,15,9,14,12,13,17,15,22,23,15,15,13,14,17,9,7,10,3,7,15,6,9,7,11,18,14,5,14,9,9,13,5,6,11,15,15,15,9,11,11,6,12,8,23,16,11,10,12,15,15,15,8,11,9,10,10,13,16,10,8,9,6,5,9,9,6,9,7,10,13,6,6,6,4,6,10,11,8,13,15,14,5,8,6,9,8,13,9,6,4,7,6,5,8,11,9,5,1,5,2,9,4,4,2,6,4,8,11,13,10,8,11,2,15,6,4,5,5,6,8,6,6,6,5,8,0,0,1,2,1,0,2,1,1,2,9,3,8,15,9,10,12,9,8,9,5,3,7,4,8,5,5,2,4,4,0,0,0,1,0,0,0,0,0,0,9,11,9,8,9,11,12,6,11,10,0,3,3,8,4,2,4,4,4,4,0,0,0,0,0,0,1,1,1,1,10,5,6,18,3,8,12,15,8,10,7,6,5,7,5,5,3,5,4,4,5,0,1,1,0,2,1,2,1,1,3,6,10,6,7,7,7,12,7,5,7,8,6,4,4,4,3,3,8,2,2,4,9,7,10,8,7,0,4,7,2,3,9,5,4,9,6,9,8,5,7,7,14,7,8,6,12,9,7,6,9,8,8,6,7,7,11,9,8,15,8,5,6,3,1,3,3,3,10,6
12,11,8,6,7,8,12,12,11,8,12,13,15,14,14,15,11,3,17,22,7,6,4,5,5,4,9,2,8,2,13,9,7,13,14,12,8,7,14,10,13,20,17,13,20,12,9,12,15,18,3,6,5,1,3,9,8,5,11,7,13,11,12,22,13,15,13,10,14,16,24,19,14,8,18,19,20,19,17,19,11,7,9,5,10,5,9,9,7,5,5,13,8,13,18,14,13,25,11,15,24,19,20,18,19,19,23,22,15,22,10,4,7,12,7,10,7,8,5,10,12,11,19,9,13,14,17,17,18,16,18,30,14,21,17,22,25,19,20,17,9,10,4,10,8,11,14,7,14,4,10,9,10,10,16,18,13,13,18,13,16,14,19,20,15,19,18,20,16,22,2,12,5,7,10,10,15,5,10,12,12,12,12,15,13,22,12,14,11,13,11,18,13,17,22,14,12,22,11,19,8,13,7,13,7,7,11,8,8,8,15,19,18,11,8,8,13,14,8,6,8,10,6,14,12,11,8,12,15,9,10,13,17,11,8,9,12,8,13,9,7,9,8,7,14,13,6,10,6,5,9,4,4,5,9,11,7,4,5,5,11,12,11,11,7,5,6,14,6,10,9,5,8,6,10,7,4,10,12,5,1,2,4,3,3,6,6,3,3,6,6,7,16,9,18,12,6,6,4,8,6,5,8,5,6,7,5,9,9,4,0,0,3,2,0,4,0,0,2,3,6,4,7,9,8,6,13,8,12,10,7,1,1,7,2,4,3,4,4,4,0,0,0,0,0,0,0,1,0,1,9,12,10,8,6,6,10,9,13,9,3,4,3,4,2,0,5,6,2,4,1,0,1,0,0,0,1,0,0,0,3,6,10,13,3,7,10,7,8,5,7,4,5,8,6,7,7,8,2,6,0,1,2,2,2,2,3,2,2,0,2,9,6,6,7,6,7,9,5,12,7,5,4,10,10,4,8,5,7,4,6,9,3,3,1,3,4,4,11,4,8,7,5,9,6,3,2,4,7,11,5,5,7,8,9,3,6,12,9,3,5,8,8,10,11,8,7,6,5,4,6,5,6,5,3,3,3,5,5,8
9,11,9,15,7,8,12,5,9,14,16,9,17,20,12,10,12,12,18,9,3,7,1,6,3,6,8,3,2,7,14,14,11,6,16,14,13,5,15,10,13,15,17,16,11,14,10,18,21,12,4,2,6,9,7,4,3,8,9,9,15,12,13,12,14,9,12,8,12,24,30,20,19,17,23,11,18,16,13,23,5,14,11,10,7,6,4,11,12,11,16,15,12,16,7,10,12,8,16,17,31,23,18,16,20,26,19,19,16,18,15,9,11,9,11,4,13,16,11,4,15,11,11,22,11,3,13,15,16,18,14,12,22,18,23,15,20,15,12,17,9,6,8,9,8,9,12,6,7,7,14,11,9,12,14,19,14,15,8,16,18,24,20,10,20,27,16,18,16,22,6,6,11,9,8,13,14,3,6,8,15,16,9,7,9,13,15,11,13,11,15,8,22,11,16,15,19,14,18,13,9,11,13,10,10,15,11,4,12,4,15,10,12,12,9,13,9,12,10,22,15,14,11,16,11,8,15,13,11,14,7,6,11,9,7,5,5,10,5,6,13,7,7,8,8,9,7,9,10,10,11,3,8,10,15,5,3,7,9,7,6,20,10,10,14,13,17,10,13,8,5,6,8,6,13,12,10,6,9,12,2,4,5,6,5,6,4,5,5,4,6,12,7,11,11,7,7,9,8,12,8,5,5,8,5,2,3,7,9,7,2,1,3,3,0,1,1,2,1,1,13,9,8,9,12,9,7,6,7,15,3,6,1,5,5,3,1,5,4,5,0,1,1,0,0,0,0,1,0,0,9,8,11,8,5,13,5,9,8,10,3,4,6,9,5,7,4,5,5,0,0,1,0,0,0,0,0,0,1,0,7,8,7,9,7,12,4,4,5,4,5,4,5,7,5,4,3,9,4,6,1,0,2,4,1,1,4,3,1,2,5,8,5,8,8,6,12,4,8,9,5,7,3,5,5,5,4,7,3,5,3,3,4,7,4,6,11,3,0,5,5,9,5,9,8,6,9,2,6,2,3,5,9,6,3,5,8,5,4,13,14,10,11,7,8,9,13,4,5,8,3,5,7,6,5,4,4,6,5,4
